Title,Genres,Movie Rating,Release Year,Movie Plot
Singin' in the Rain,"Comedy, Musical, Romance",8.3,1952,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Capernaum,Drama,8.4,2018,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Requiem for a Dream,Drama,8.3,2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Come and See,"Drama, Thriller, War",8.4,1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Toy Story 3,"Animation, Adventure, Comedy",8.3,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",8.3,2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
The Hunt,Drama,8.3,2012,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",8.3,1983,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
2001: A Space Odyssey,"Adventure, Sci-Fi",8.3,1968,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
Reservoir Dogs,"Crime, Thriller",8.3,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Ikiru,Drama,8.3,1952,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Lawrence of Arabia,"Adventure, Biography, Drama",8.3,1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
The Apartment,"Comedy, Drama, Romance",8.3,1960,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Citizen Kane,"Drama, Mystery",8.3,1941,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
North by Northwest,"Action, Adventure, Mystery",8.3,1959,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
M,"Crime, Mystery, Thriller",8.3,1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Vertigo,"Mystery, Romance, Thriller",8.3,1958,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Incendies,"Drama, Mystery, War",8.3,2010,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Double Indemnity,"Crime, Drama, Film-Noir",8.3,1944,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Scarface,"Crime, Drama",8.3,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Amélie,"Comedy, Romance",8.3,2001,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
Full Metal Jacket,"Drama, War",8.3,1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Heat,"Action, Crime, Drama",8.3,1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
A Clockwork Orange,"Crime, Sci-Fi",8.3,1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
Up,"Animation, Adventure, Comedy",8.3,2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
To Kill a Mockingbird,"Crime, Drama",8.3,1962,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
The Sting,"Comedy, Crime, Drama",8.3,1973,Two grifters team up to pull off the ultimate con.
A Separation,Drama,8.3,2011,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Indiana Jones and the Last Crusade,"Action, Adventure",8.2,1989,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
Die Hard,"Action, Thriller",8.2,1988,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Metropolis,"Drama, Sci-Fi",8.3,1927,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
Like Stars on Earth,"Drama, Family",8.3,2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Hamilton,"Biography, Drama, History",8.3,2020,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Snatch,"Comedy, Crime",8.2,2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
L.A. Confidential,"Crime, Drama, Mystery",8.2,1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Bicycle Thieves,Drama,8.3,1948,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
1917,"Action, Drama, War",8.2,2019,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Taxi Driver,"Crime, Drama",8.2,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
